"","State","Year","Month","avg_temp","max_temp","drought_severity","avg_precip","total_fires","total_acres_burned"
"1","AL",1992,1,44.1,54.3,-0.28,6.12,4,48
"2","AL",1992,2,51.4,63.5,-0.1,5.99,3,239.3
"3","AL",1992,3,54.9,67.8,-0.7,4.03,0,95.2
"4","AL",1992,4,61.5,74.5,-1.12,2.91,1,610.4
"5","AL",1992,5,68,81,-1.6,1.95,2,29.9
"6","AL",1992,8,75.8,85.7,1.49,5.87,0,5.1
"7","AL",1992,9,73.4,83,1.48,3.61,0,0.1
"8","AL",1992,10,61.9,74.4,1.49,2.59,1,3.2
"9","AL",1992,11,52.4,63.2,3.2,9.48,1,34.9
"10","AL",1992,12,47.1,55.9,3.1,5.73,0,12.1
"11","AL",1993,1,48.8,58,3.05,6.21,2,255.6
"12","AL",1993,2,46.2,57.8,-0.4,3.72,10,889.9
"13","AL",1993,3,51.7,63,-0.19,6.59,0,455.8
"14","AL",1993,4,58.7,71.6,-0.47,3.26,2,57.5
"15","AL",1993,6,77.6,89.1,-0.62,3.39,0,7.2
"16","AL",1993,7,82.2,93.8,-1.57,2.88,0,219.9
"17","AL",1993,8,80.1,90.9,-1.55,4.72,0,65.6
"18","AL",1993,9,74,85.9,-1.5,3.83,1,21.1
"19","AL",1993,10,62.8,74.8,0.22,3.71,1,152.3
"20","AL",1993,11,51.7,64.2,0.23,3.88,1,73.5
"21","AL",1993,12,45.3,55.7,0.01,4.29,3,77.5
"22","AL",1994,1,40.8,50.9,0.15,5.31,0,117
"23","AL",1994,2,50.3,62.2,0.05,5.08,3,369.1
"24","AL",1994,3,55.7,69.2,0.27,7.25,12,355.3
"25","AL",1994,4,64.7,78.2,-0.22,4.4,3,343.3
"26","AL",1994,5,68.4,80.6,-0.39,3.2,0,24
"27","AL",1994,6,77.8,87.4,0.96,7,0,44
"28","AL",1994,7,77.6,86.6,2.41,9.43,0,0.1
"29","AL",1994,9,72.2,83.4,1.93,3.61,0,0.2
"30","AL",1994,10,64,73.6,2.52,4.97,0,3
"31","AL",1994,11,58,69.6,-0.12,3.5,2,112.5
"32","AL",1994,12,49.9,59.8,-0.51,3.67,2,24.2
"33","AL",1995,1,45.4,56,-0.54,4.83,4,51
"34","AL",1995,2,47.6,59.2,-0.34,5.65,16,289.1
"35","AL",1995,3,58.2,69.6,-0.65,5.42,17,93.5
